review_text,category,rating,username,ip_address,post_timestamp,review_timestamp,label
I’ve been using it for a week and it’s performing really well.,Electronics,5,anthonyramos,68.33.141.216,1749414928607,1749415168607,OR
The product quality is excellent and exactly as described.,Food,4,kathryn58,102.192.163.82,1745562088607,1745564188607,OR
Excellent quality very very very good nice and awesome product.,Food,4,joebaker,167.205.183.204,1746674488607,1746676888607,CG
Very satisfied not fake review trust me genuine genuine genuine.,Electronics,3,nicholas99,134.5.37.208,1755011248607,1755012268607,CG
Very satisfied not fake review trust me genuine genuine genuine.,Clothing,3,alicia63,177.21.162.18,1746381688607,1746385168607,CG
Fast delivery and great packaging.,Home,2,elizabethallen,100.214.157.41,1752965968607,1752967468607,OR
Amazing experience! Totally worth the money.,Books,5,elizabethallen,142.30.116.9,1749614368607,1749614608607,OR
Fast delivery and great packaging.,Food,3,icherry,243.154.171.228,1746549208607,1746551368607,OR
The product quality is excellent and exactly as described.,Books,1,colemanwhitney,66.86.38.235,1753441588607,1753445188607,OR
Customer service was very responsive and helpful.,Beauty,2,joebaker,14.229.249.184,1753000468607,1753001728607,OR
The item works perfect perfect perfect wow wow wow.,Home,4,kathryn58,166.177.18.225,1746057568607,1746059548607,CG
I’ve been using it for a week and it’s performing really well.,Toys,5,kevin77,53.95.173.255,1748205328607,1748208688607,OR
Fast delivery and great packaging.,Clothing,5,bryantmark,130.187.235.56,1754490088607,1754492488607,OR
Fast delivery and great packaging.,Toys,3,jamie71,175.118.217.142,1753518508607,1753520008607,OR
The item works perfect perfect perfect wow wow wow.,Clothing,4,susanwatson,63.104.205.234,1751373628607,1751375368607,CG
I’ve been using it for a week and it’s performing really well.,Clothing,3,bryantmark,139.24.83.246,1747930168607,1747932448607,OR
I’ve been using it for a week and it’s performing really well.,Clothing,3,tapiajessica,52.35.97.202,1755099808607,1755101248607,OR
Very satisfied not fake review trust me genuine genuine genuine.,Beauty,3,brandon86,249.83.7.37,1749088348607,1749090868607,CG
This product is the best I ever used ever best product ever wow amazing.,Clothing,4,collinsanna,95.205.245.175,1752912328607,1752915568607,CG
The item works perfect perfect perfect wow wow wow.,Beauty,5,brandon86,52.181.66.87,1745801968607,1745802568607,CG
I’ve been using it for a week and it’s performing really well.,Books,1,nicholasodom,144.151.182.70,1756691908607,1756692268607,OR
Very satisfied not fake review trust me genuine genuine genuine.,Books,3,audrey24,141.183.68.16,1752345688607,1752348328607,CG
Amazing experience! Totally worth the money.,Books,5,alexandrabenitez,3.72.61.244,1753962028607,1753962208607,OR
The item works perfect perfect perfect wow wow wow.,Books,5,emccarthy,138.68.246.234,1756271968607,1756275448607,CG
The product quality is excellent and exactly as described.,Home,3,ericvillarreal,217.31.247.150,1751158108607,1751158888607,OR
This product is the best I ever used ever best product ever wow amazing.,Beauty,5,irhodes,2.200.209.146,1748892808607,1748896108607,CG
Customer service was very responsive and helpful.,Clothing,2,jessica95,132.183.59.162,1752740668607,1752741868607,OR
This product is the best I ever used ever best product ever wow amazing.,Food,2,andersonkim,229.12.202.237,1754517028607,1754519488607,CG
Good good good nice nice nice awesome awesome awesome.,Food,5,rhonda84,247.213.113.218,1746383548607,1746383848607,CG
I’ve been using it for a week and it’s performing really well.,Books,2,david54,110.201.230.232,1748982148607,1748982328607,OR
Fast delivery and great packaging.,Books,2,mark20,150.228.20.183,1747498528607,1747499188607,OR
Very satisfied not fake review trust me genuine genuine genuine.,Home,2,macknathan,228.207.76.78,1747704328607,1747704388607,CG
I’ve been using it for a week and it’s performing really well.,Toys,1,jessica71,114.143.104.213,1751403748607,1751404828607,OR
I’ve been using it for a week and it’s performing really well.,Books,3,bryantmark,23.212.231.81,1752048988607,1752050008607,OR
The product quality is excellent and exactly as described.,Books,3,ericvillarreal,31.45.105.106,1749450328607,1749453508607,OR
The product quality is excellent and exactly as described.,Toys,4,yharrison,240.194.64.179,1753969648607,1753971568607,OR
Amazing experience! Totally worth the money.,Books,1,virginia01,116.71.112.201,1754990368607,1754992168607,OR
I’ve been using it for a week and it’s performing really well.,Electronics,1,troysmith,53.166.189.16,1756181848607,1756182088607,OR
This product is the best I ever used ever best product ever wow amazing.,Electronics,2,irhodes,52.24.151.1,1748276848607,1748278408607,CG
Very satisfied not fake review trust me genuine genuine genuine.,Home,2,alicia63,173.218.93.167,1746108328607,1746111388607,CG
Amazing experience! Totally worth the money.,Beauty,4,astevens,47.83.103.178,1750837408607,1750839508607,OR
This product is the best I ever used ever best product ever wow amazing.,Clothing,4,goldenmonica,164.86.131.183,1747470568607,1747472848607,CG
Customer service was very responsive and helpful.,Electronics,5,kevin77,176.91.238.155,1754299048607,1754300428607,OR
Good good good nice nice nice awesome awesome awesome.,Toys,4,sherri27,23.214.14.103,1753597828607,1753601188607,CG
The item works perfect perfect perfect wow wow wow.,Books,1,uadams,165.167.119.189,1755957268607,1755958768607,CG
The item works perfect perfect perfect wow wow wow.,Books,1,maurice28,103.22.159.51,1747060528607,1747061548607,CG
I’ve been using it for a week and it’s performing really well.,Clothing,3,yreyes,97.177.54.211,1747993228607,1747995448607,OR
Very satisfied not fake review trust me genuine genuine genuine.,Books,1,rhonda84,29.243.118.5,1756063768607,1756066348607,CG
The item works perfect perfect perfect wow wow wow.,Toys,4,astevens,44.14.245.217,1754285608607,1754288248607,CG
This product is the best I ever used ever best product ever wow amazing.,Electronics,2,tjones,76.181.56.204,1748882848607,1748883808607,CG
Fast delivery and great packaging.,Food,4,justinpeters,6.222.95.31,1749171808607,1749173488607,OR
The item works perfect perfect perfect wow wow wow.,Toys,2,loganmoreno,135.222.113.65,1749525328607,1749526228607,CG
Fast delivery and great packaging.,Beauty,5,arthur42,22.157.5.37,1756716808607,1756718848607,OR
I’ve been using it for a week and it’s performing really well.,Toys,2,jessica95,5.72.56.232,1749516328607,1749516868607,OR
Amazing experience! Totally worth the money.,Books,1,nicholas99,163.27.251.205,1745131828607,1745134948607,OR
Excellent quality very very very good nice and awesome product.,Clothing,1,hlee,194.54.250.6,1746101068607,1746103828607,CG
Fast delivery and great packaging.,Beauty,4,mark20,246.16.205.126,1752519988607,1752522748607,OR
Excellent quality very very very good nice and awesome product.,Beauty,4,joebaker,140.76.115.118,1745096368607,1745099128607,CG
I’ve been using it for a week and it’s performing really well.,Food,4,michael50,209.26.193.170,1755746188607,1755749368607,OR
The item works perfect perfect perfect wow wow wow.,Home,4,andersonkim,246.248.31.43,1744934548607,1744934968607,CG
I’ve been using it for a week and it’s performing really well.,Books,2,michellejones,171.194.43.172,1746982288607,1746982588607,OR
This product is the best I ever used ever best product ever wow amazing.,Food,1,maurice28,249.220.73.71,1752998968607,1753000708607,CG
Very satisfied not fake review trust me genuine genuine genuine.,Food,4,alec82,52.128.56.175,1744952428607,1744953028607,CG
Customer service was very responsive and helpful.,Electronics,4,uadams,166.233.39.57,1748112688607,1748115148607,OR
Customer service was very responsive and helpful.,Electronics,1,loganmoreno,103.7.55.146,1750887868607,1750888348607,OR
I’ve been using it for a week and it’s performing really well.,Beauty,3,ericvillarreal,154.191.209.171,1751987788607,1751988268607,OR
The item works perfect perfect perfect wow wow wow.,Clothing,4,kathryn58,78.238.187.121,1755099328607,1755102088607,CG
Good good good nice nice nice awesome awesome awesome.,Beauty,1,emccarthy,81.241.85.26,1751408728607,1751411968607,CG
The item works perfect perfect perfect wow wow wow.,Clothing,4,stanleydaniel,156.148.242.196,1747232068607,1747234768607,CG
I’ve been using it for a week and it’s performing really well.,Books,2,jessica71,134.161.133.164,1747471168607,1747471288607,OR
